Unnamed: 0,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,type,"""pl_eqt"""
2435,Kepler-327 d,0.0901,,,0.0,392.0,,,0.0,3799.0,64.0,-101.0,0.0,0.492,0.05,-0.05,0.0,hot,
2436,Kepler-328 b,0.2199,,,0.0,602.0,,,0.0,6194.0,196.0,-295.0,0.0,1.069,0.323,-0.129,0.0,hot,
2437,Kepler-328 c,0.3526,,,0.0,473.0,,,0.0,6167.0,181.0,-259.0,0.0,1.064,0.442,-0.106,0.0,hot,
2438,Kepler-329 b,0.0601,,,0.0,522.0,,,0.0,4045.0,85.0,-71.0,0.0,0.515,0.06,-0.043,0.0,hot,
2439,Kepler-329 c,0.1114,,,0.0,384.0,,,0.0,4045.0,85.0,-71.0,0.0,0.515,0.06,-0.043,0.0,hot,
2441,Kepler-33 c,0.119,,,0.0,1018.0,,,0.0,5904.0,51.0,-51.0,0.0,1.82,0.16,-0.16,0.0,hot,
2442,Kepler-33 d,0.1577,,,0.0,853.0,,,0.0,5900.0,117.0,-117.0,0.0,1.694,0.257,-0.418,0.0,hot,
2443,Kepler-33 e,0.2029,,,0.0,752.0,,,0.0,5900.0,120.0,-117.0,0.0,1.694,0.399,-0.381,0.0,hot,
2444,Kepler-33 f,0.2405,,,0.0,691.0,,,0.0,5900.0,120.0,-117.0,0.0,1.694,0.399,-0.381,0.0,hot,
2445,Kepler-330 b,0.074,,,0.0,688.0,,,0.0,5093.0,73.0,-73.0,0.0,0.69,0.16,-0.16,0.0,hot,
2446,Kepler-330 c,0.116,,,0.0,570.0,,,0.0,5108.0,164.0,-130.0,0.0,0.743,0.119,-0.055,0.0,hot,
2447,Kepler-331 b,0.07,,,0.0,570.0,,,0.0,4496.0,61.0,-61.0,0.0,0.579,0.013,-0.013,0.0,hot,
2448,Kepler-331 c,0.1063,,,0.0,424.0,,,0.0,4345.0,133.0,-143.0,0.0,0.521,0.044,-0.044,0.0,hot,
2449,Kepler-331 d,0.1607,,,0.0,345.0,,,0.0,4345.0,133.0,-143.0,0.0,0.521,0.044,-0.044,0.0,hot,
2450,Kepler-332 b,0.069,,,0.0,737.0,,,0.0,5070.0,79.0,-79.0,0.0,0.75,0.6,-0.6,0.0,hot,
2451,Kepler-332 c,0.1155,,,0.0,619.0,,,0.0,5141.0,170.0,-142.0,0.0,0.861,0.979,-0.091,0.0,hot,
2452,Kepler-332 d,0.1917,,,0.0,481.0,,,0.0,5141.0,170.0,-142.0,0.0,0.861,0.979,-0.091,0.0,hot,
2453,Kepler-333 b,0.0889,,,0.0,470.0,,,0.0,4159.0,94.0,-78.0,0.0,0.583,0.057,-0.053,0.0,hot,
2454,Kepler-333 c,0.1384,,,0.0,386.0,,,0.0,4213.0,84.0,-84.0,0.0,0.598,0.029,-0.029,0.0,hot,
2455,Kepler-334 b,0.062,,,0.0,1081.0,,,0.0,6095.0,72.0,-72.0,0.0,1.0,0.66,-0.66,0.0,hot,
2456,Kepler-334 c,0.1055,,,0.0,791.0,,,0.0,5827.0,111.0,-119.0,0.0,0.999,0.186,-0.084,0.0,hot,
2457,Kepler-334 d,0.1656,,,0.0,631.0,,,0.0,5827.0,111.0,-119.0,0.0,0.999,0.186,-0.084,0.0,hot,
2458,Kepler-335 b,0.0691,,,0.0,972.0,,,0.0,6003.0,148.0,-179.0,0.0,0.932,0.348,-0.08,0.0,hot,
2459,Kepler-335 c,0.3277,,,0.0,447.0,,,0.0,6003.0,148.0,-179.0,0.0,0.932,0.348,-0.08,0.0,hot,
2461,Kepler-336 c,0.0866,,,0.0,841.0,,,0.0,6029.0,153.0,-165.0,0.0,0.865,0.373,-0.068,0.0,hot,
2462,Kepler-336 d,0.1444,,,0.0,651.0,,,0.0,6029.0,153.0,-165.0,0.0,0.865,0.373,-0.068,0.0,hot,
2464,Kepler-337 c,0.0894,,,0.0,1017.0,,,0.0,5683.0,115.0,-104.0,0.0,1.472,0.229,-0.344,0.0,hot,
2465,Kepler-338 b,0.1154,,,0.0,1005.0,,,0.0,5951.0,80.0,-80.0,0.0,1.693,0.115,-0.094,0.0,hot,
2466,Kepler-338 c,0.17,,,0.0,775.0,,,0.0,5897.0,57.0,-57.0,0.0,1.51,0.2,-0.2,0.0,hot,
2467,Kepler-338 d,0.2526,,,0.0,680.0,,,0.0,5951.0,80.0,-80.0,0.0,1.693,0.115,-0.094,0.0,hot,
2468,Kepler-338 e,0.09,,,0.0,1065.0,,,0.0,5897.0,57.0,-57.0,0.0,1.51,0.2,-0.2,0.0,hot,
2469,Kepler-339 b,0.0545,,,0.0,1023.0,,,0.0,5353.0,80.0,-72.0,0.0,1.023,0.141,-0.141,0.0,hot,
2470,Kepler-339 c,0.07,,,0.0,855.0,,,0.0,5639.0,72.0,-72.0,0.0,0.83,0.27,-0.27,0.0,hot,
2471,Kepler-339 d,0.0903,,,0.0,742.0,,,0.0,5627.0,158.0,-139.0,0.0,0.808,0.316,-0.063,0.0,hot,
2474,Kepler-341 b,0.0587,,,0.0,1095.0,,,0.0,6008.0,156.0,-183.0,0.0,1.003,0.396,-0.109,0.0,hot,
2475,Kepler-341 c,0.0772,,,0.0,940.0,,,0.0,5616.0,76.0,-76.0,0.0,1.111,0.16,-0.16,0.0,hot,
2476,Kepler-341 d,0.1791,,,0.0,627.0,,,0.0,6008.0,156.0,-183.0,0.0,1.003,0.396,-0.109,0.0,hot,
2477,Kepler-341 e,0.2348,,,0.0,539.0,,,0.0,5616.0,76.0,-76.0,0.0,1.111,0.16,-0.16,0.0,hot,
2478,Kepler-342 b,0.1275,,,0.0,868.0,,,0.0,6475.0,144.0,-224.0,0.0,1.178,0.557,-0.147,0.0,hot,
2479,Kepler-342 c,0.1859,,,0.0,754.0,,,0.0,6297.0,113.0,-126.0,0.0,1.369,0.228,-0.187,0.0,hot,
2480,Kepler-342 d,0.2412,,,0.0,631.0,,,0.0,6475.0,144.0,-224.0,0.0,1.178,0.557,-0.147,0.0,hot,
2482,Kepler-343 b,0.086,,,0.0,947.0,,,0.0,6111.0,133.0,-133.0,0.0,1.06,0.46,-0.46,0.0,hot,
2483,Kepler-343 c,0.1609,,,0.0,689.0,,,0.0,6122.0,168.0,-214.0,0.0,1.047,0.458,-0.116,0.0,hot,
2484,Kepler-344 b,0.1503,,,0.0,643.0,,,0.0,5774.0,164.0,-163.0,0.0,0.958,0.377,-0.105,0.0,hot,
2485,Kepler-344 c,0.4806,,,0.0,360.0,,,0.0,5774.0,164.0,-163.0,0.0,0.958,0.377,-0.105,0.0,hot,
2486,Kepler-345 b,0.0634,,,0.0,610.0,,,0.0,4386.0,128.0,-132.0,0.0,0.63,0.051,-0.065,0.0,hot,
2487,Kepler-345 c,0.0742,,,0.0,564.0,,,0.0,4386.0,128.0,-132.0,0.0,0.63,0.051,-0.065,0.0,hot,
2488,Kepler-346 b,0.0698,,,0.0,1008.0,,,0.0,6032.0,190.0,-232.0,0.0,1.001,0.333,-0.111,0.0,hot,
2489,Kepler-346 c,0.1658,,,0.0,654.0,,,0.0,6032.0,190.0,-232.0,0.0,1.001,0.333,-0.111,0.0,hot,
2490,Kepler-347 b,0.1097,,,0.0,811.0,,,0.0,6092.0,144.0,-198.0,0.0,0.998,0.385,-0.094,0.0,hot,
2491,Kepler-347 c,0.182,,,0.0,629.0,,,0.0,6092.0,144.0,-198.0,0.0,0.998,0.385,-0.094,0.0,hot,
2492,Kepler-347 d,0.3893,,,0.0,430.0,,,0.0,6092.0,144.0,-198.0,0.0,0.998,0.385,-0.094,0.0,hot,
2494,Kepler-348 c,0.139,,,0.0,824.0,,,0.0,6395.0,142.0,-237.0,0.0,1.186,0.687,-0.157,0.0,hot,
2495,Kepler-349 b,0.0642,,,0.0,987.0,,,0.0,5941.0,156.0,-175.0,0.0,0.911,0.317,-0.074,0.0,hot,
2496,Kepler-349 c,0.1052,,,0.0,763.0,,,0.0,5741.0,78.0,-78.0,0.0,0.956,0.143,-0.048,0.0,hot,
2497,Kepler-350 b,0.0979,,,0.0,979.0,,,0.0,6217.0,168.0,-195.0,0.0,1.247,0.571,-0.24,0.0,hot,
2498,Kepler-350 c,0.1336,,,0.0,838.0,,,0.0,6217.0,168.0,-195.0,0.0,1.247,0.571,-0.24,0.0,hot,
2499,Kepler-350 d,0.1723,,,0.0,738.0,,,0.0,6217.0,168.0,-195.0,0.0,1.247,0.571,-0.24,0.0,hot,
2500,Kepler-351 b,0.2112,,,0.0,497.0,,,0.0,5646.0,164.0,-151.0,0.0,0.841,0.369,-0.067,0.0,hot,
2501,Kepler-351 c,0.2822,,,0.0,430.0,,,0.0,5646.0,164.0,-151.0,0.0,0.841,0.369,-0.067,0.0,hot,
2503,Kepler-352 b,0.086,,,0.0,669.0,,,0.0,5227.0,65.0,-65.0,0.0,0.725,0.038,-0.038,0.0,hot,
2504,Kepler-352 c,0.1183,,,0.0,583.0,,,0.0,5238.0,157.0,-136.0,0.0,0.752,0.146,-0.058,0.0,hot,
2505,Kepler-352 d,0.0665,,,0.0,777.0,,,0.0,5238.0,157.0,-136.0,0.0,0.752,0.146,-0.058,0.0,hot,
2506,Kepler-353 b,0.0519,,,0.0,534.0,,,0.0,3757.0,75.0,-83.0,0.0,0.539,0.03,-0.038,0.0,hot,
2507,Kepler-353 c,0.066,,,0.0,510.0,,,0.0,4090.0,52.0,-52.0,0.0,0.528,0.0078,-0.0078,0.0,hot,
2508,Kepler-354 b,0.0542,,,0.0,741.0,,,0.0,4650.0,125.0,-139.0,0.0,0.706,0.046,-0.061,0.0,hot,
2509,Kepler-354 c,0.115,,,0.0,508.0,,,0.0,4650.0,125.0,-139.0,0.0,0.706,0.046,-0.061,0.0,hot,
2510,Kepler-354 d,0.142,,,0.0,427.0,,,0.0,4612.0,66.0,-66.0,0.0,0.625,0.015,-0.015,0.0,hot,
2511,Kepler-355 b,0.1003,,,0.0,878.0,,,0.0,6184.0,173.0,-238.0,0.0,1.038,0.532,-0.099,0.0,hot,
2512,Kepler-355 c,0.176,,,0.0,634.0,,,0.0,5929.0,200.0,-200.0,0.0,1.03,0.3,-0.3,0.0,hot,
